city,latitude,longitude,area,citizensDensity,citizensCount,firstMention,lightPollutionAvg,lightPollutionMax
Bratislava,48.148598,17.107748,367.66,1168.37,429564,907,41.3171,123.38
Košice,48.71711,21.259781,237.05,1008.63,239095,1230,25.331,61.65
Prešov,49.001831,21.239311,70.43,1265.63,89138,1247,28.2227,42.09
Žilina,49.219631,18.74222,80.03,1011.85,80978,1208,25.304,46
Banská Bystrica,48.736279,19.146191,103.38,759.18,78484,1255,20.0953,42.69
Nitra,48.309891,18.08588,100.48,766.80,77048,826,20.725,47.46
Trnava,48.373482,17.595051,71.54,913.92,65382,1211,31.711,80.35
Trenčín,48.893951,18.037849,82.00,677.28,55537,1111,19.8578,37.75
Martin,49.070691,18.920373,67.74,811.60,54978,1264,12.5626,26.7
Poprad,49.054001,20.295059,63.11,815.81,51486,1256,20.4981,45.38
Prievidza,48.77293,18.62215,43.06,1077.75,46408,1113,11.0255,21.26
Zvolen,48.575859,19.125629,98.73,430.22,42476,1135,19.7856,38.11
Považská Bystrica,49.11565,18.442141,90.56,439.90,39837,1316,19.889,35.41
Michalovce,48.756001,21.91486,52.81,741.36,39151,1244,12.45,23.94
Nové Zámky,47.98613,18.16361,72.57,526.00,38172,1573,16.8721,27.18
Spišská Nová Ves,48.945381,20.562099,66.67,559.86,37326,1268,11.8048,21.93
Komárno,47.762501,18.1306,103.17,331.10,34160,1075,20.766,54.5
Humenné,48.938259,21.90769,28.63,1168.04,33441,1317,20.8064,43.45
Levice,48.219238,18.606501,61.00,546.43,33332,1156,21.7095,39.47
Bardejov,49.294586,21.2754,72.39,450.16,32587,1241,14.1553,31.74
Liptovský Mikuláš,49.08335,19.60982,70.11,447.08,31345,1286,13.1055,34.65
Lučenec,48.328812,19.66843,47.79,585.71,27991,1262,10.1016,21.48
Piešťany,48.589199,17.83411,44.20,625.93,27666,1113,15.9085,24.93
Ružomberok,49.08466,19.30209,126.72,211.92,26854,1233,15.1257,29.8
Topoľčany,48.561018,18.167643,27.58,924.29,25492,1173,13.8357,41
Trebišov,48.629608,21.71974,70.16,350.44,24587,1204,6.488,11.51
Čadca,49.437939,18.7897,56.79,428.16,24315,1598,9.8044,20.47
Dubnica nad Váhom,48.960159,18.1742,49.14,489.78,24068,1193,13.9248,20.89
Rimavská Sobota,48.38121,20.0217,77.55,309.61,24010,1268,10.2205,18.89
Partizánske,48.626431,18.37162,22.31,1015.37,22653,1260,10.0035,16.42
Vranov nad Top?ou,48.89033,21.68298,34.36,657.42,22589,1270,11.9941,25.85
Dunajská Streda,47.991634,17.62063,31.45,719.97,22643,1254,21.6522,46.44
Pezinok,48.28469,17.27055,72.76,314.20,22861,1208,21.5695,36.31
Šaľa,48.151529,17.874798,44.97,494.08,22219,1002,10.7694,19.38
Hlohovec,48.426929,17.797409,64.12,338.66,21715,1113,12.48,25.66
Brezno,48.806332,19.64389,121.96,172.86,21082,1265,12.0633,19.19
Senica,48.681,17.36743,50.29,404.49,20342,1217,19.6952,30.86
Snina,48.987518,22.15196,50.29,404.49,20342,1317,8.5724,19.12
Nové Mesto nad Váhom,48.756569,17.82909,32.58,615.90,20066,1253,19.5449,37.75